subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
91,SelfAdmin,One,15,20,0,3,15-20 min
91,SelfAdmin,One,20,25,2,0,20-25 min
91,SelfAdmin,One,25,30,2,3,25-30 min
91,SelfAdmin,One,30,35,1,4,30-35 min
91,SelfAdmin,One,35,40,1,4,35-40 min
91,SelfAdmin,One,40,45,1,1,40-45 min
91,SelfAdmin,One,45,50,1,0,45-50 min
91,SelfAdmin,One,50,55,3,0,50-55 min
91,SelfAdmin,One,55,60,2,2,55-60 min
92,SelfAdmin,One,0,5,2,3,0-5 min
92,SelfAdmin,One,5,10,0,1,5-10 min
92,SelfAdmin,One,10,15,0,0,10-15 min
92,SelfAdmin,One,15,20,2,2,15-20 min
92,SelfAdmin,One,20,25,3,5,20-25 min
92,SelfAdmin,One,25,30,1,0,25-30 min
92,SelfAdmin,One,30,35,1,1,30-35 min
92,SelfAdmin,One,35,40,2,3,35-40 min
92,SelfAdmin,One,40,45,1,2,40-45 min
92,SelfAdmin,One,45,50,2,2,45-50 min
92,SelfAdmin,One,50,55,2,2,50-55 min
92,SelfAdmin,One,55,60,1,2,55-60 min
93,SelfAdmin,One,0,5,7,6,0-5 min
93,SelfAdmin,One,5,10,1,3,5-10 min
93,SelfAdmin,One,10,15,7,3,10-15 min
93,SelfAdmin,One,15,20,3,2,15-20 min
93,SelfAdmin,One,20,25,5,2,20-25 min
93,SelfAdmin,One,25,30,9,3,25-30 min
93,SelfAdmin,One,30,35,5,6,30-35 min
93,SelfAdmin,One,35,40,4,7,35-40 min
93,SelfAdmin,One,40,45,5,5,40-45 min
93,SelfAdmin,One,45,50,6,2,45-50 min
93,SelfAdmin,One,50,55,5,4,50-55 min
93,SelfAdmin,One,55,60,4,2,55-60 min
94,SelfAdmin,One,0,5,1,1,0-5 min
94,SelfAdmin,One,5,10,0,1,5-10 min
94,SelfAdmin,One,10,15,0,0,10-15 min
94,SelfAdmin,One,15,20,1,1,15-20 min
94,SelfAdmin,One,20,25,1,1,20-25 min
94,SelfAdmin,One,25,30,0,0,25-30 min
94,SelfAdmin,One,30,35,0,2,30-35 min
94,SelfAdmin,One,35,40,0,0,35-40 min
94,SelfAdmin,One,40,45,0,0,40-45 min
94,SelfAdmin,One,45,50,0,3,45-50 min
94,SelfAdmin,One,50,55,0,0,50-55 min
94,SelfAdmin,One,55,60,0,0,55-60 min
95,SelfAdmin,One,0,5,4,1,0-5 min
95,SelfAdmin,One,5,10,1,1,5-10 min
95,SelfAdmin,One,10,15,2,0,10-15 min
95,SelfAdmin,One,15,20,1,1,15-20 min
95,SelfAdmin,One,20,25,2,0,20-25 min
95,SelfAdmin,One,25,30,3,0,25-30 min
95,SelfAdmin,One,30,35,0,0,30-35 min
95,SelfAdmin,One,35,40,3,2,35-40 min
95,SelfAdmin,One,40,45,1,0,40-45 min
95,SelfAdmin,One,45,50,4,2,45-50 min
95,SelfAdmin,One,50,55,2,0,50-55 min
95,SelfAdmin,One,55,60,1,0,55-60 min
