filename,subject,experiment,phase,group,box,start_date,end_date,start_time,end_time,msn,F_value,G_value,H_value,I_value,J_value,K_value,L_value,M_value,N_value,O_value,P_value,Q_value,R_value,S_value,U_value,V_value,W_value,X_value,Y_value,Z_value,active_lever_presses,inactive_lever_presses,reinforcers
2025-04-14_09h09m_Subject 83.txt,83,OralFentSA,SelfAdmin,One,11,04/14/25,04/14/25,09:09:58,10:59:40,20241014Golden_Liq_SelfAdmin_REI,0.0,126.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,126.0
2025-04-14_09h10m_Subject 84.txt,84,OralFentSA,SelfAdmin,One,12,04/14/25,04/14/25,09:10:02,10:59:40,20241014Golden_Liq_SelfAdmin_REI,0.0,684.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,16,684.0
2025-04-14_10h34m_Subject 85.txt,85,OralFentSA,SelfAdmin,One,1,04/14/25,04/14/25,10:34:37,12:07:03,20241014Golden_Liq_SelfAdmin_REI,0.0,319.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,11,319.0
2025-04-14_10h34m_Subject 86.txt,86,OralFentSA,SelfAdmin,One,2,04/14/25,04/14/25,10:34:41,12:07:05,20241014Golden_Liq_SelfAdmin_REI,0.0,271.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,271.0
2025-04-14_10h34m_Subject 87.txt,87,OralFentSA,SelfAdmin,One,3,04/14/25,04/14/25,10:34:45,12:07:06,20241014Golden_Liq_SelfAdmin_REI,0.0,386.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,13,386.0
2025-04-14_10h34m_Subject 88.txt,88,OralFentSA,SelfAdmin,One,4,04/14/25,04/14/25,10:34:48,12:15:58,20241014Golden_Liq_SelfAdmin_REI,0.0,544.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,12,544.0
2025-04-14_10h34m_Subject 89.txt,89,OralFentSA,SelfAdmin,One,5,04/14/25,04/14/25,10:34:51,12:15:58,20241014Golden_Liq_SelfAdmin_REI,0.0,391.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,10,391.0
2025-04-14_11h31m_Subject 90.txt,90,OralFentSA,SelfAdmin,One,7,04/14/25,04/14/25,11:31:32,11:50:39,20241014Golden_Liq_SelfAdmin_REI,0.0,1087.0,804.77,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1087.0
2025-04-14_11h31m_Subject 91.txt,91,OralFentSA,SelfAdmin,One,8,04/14/25,04/14/25,11:31:32,11:50:32,20241014Golden_Liq_SelfAdmin_REI,0.0,986.0,798.58,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,986.0
2025-04-14_11h31m_Subject 92.txt,92,OralFentSA,SelfAdmin,One,9,04/14/25,04/14/25,11:31:32,11:50:32,20241014Golden_Liq_SelfAdmin_REI,0.0,986.0,798.58,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,986.0
2025-04-14_11h43m_Subject 93.txt,93,OralFentSA,SelfAdmin,One,10,04/14/25,04/14/25,11:43:08,11:50:32,20241014Golden_Liq_SelfAdmin_REI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2025-04-14_11h43m_Subject 94.txt,94,OralFentSA,SelfAdmin,One,11,04/14/25,04/14/25,11:43:08,11:50:39,20241014Golden_Liq_SelfAdmin_REI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2025-04-14_11h43m_Subject 95.txt,95,OralFentSA,SelfAdmin,One,12,04/14/25,04/14/25,11:43:08,11:50:39,20241014Golden_Liq_SelfAdmin_REI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2025-04-14_11h51m_Subject 90.txt,90,OralFentSA,SelfAdmin,One,7,04/14/25,04/14/25,11:51:17,12:51:58,20241014Golden_Liq_SelfAdmin_REI,0.0,734.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,16,734.0
2025-04-14_11h51m_Subject 91.txt,91,OralFentSA,SelfAdmin,One,8,04/14/25,04/14/25,11:51:22,12:51:58,20241014Golden_Liq_SelfAdmin_REI,0.0,393.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,19,393.0
2025-04-14_11h51m_Subject 92.txt,92,OralFentSA,SelfAdmin,One,9,04/14/25,04/14/25,11:51:25,12:51:58,20241014Golden_Liq_SelfAdmin_REI,0.0,347.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,23,347.0
2025-04-14_11h51m_Subject 93.txt,93,OralFentSA,SelfAdmin,One,10,04/14/25,04/14/25,11:51:27,13:04:19,20241014Golden_Liq_SelfAdmin_REI,0.0,1129.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,45,1129.0
2025-04-14_11h51m_Subject 94.txt,94,OralFentSA,SelfAdmin,One,11,04/14/25,04/14/25,11:51:42,13:04:19,20241014Golden_Liq_SelfAdmin_REI,0.0,168.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,168.0
2025-04-14_11h51m_Subject 95.txt,95,OralFentSA,SelfAdmin,One,12,04/14/25,04/14/25,11:51:48,13:04:19,20241014Golden_Liq_SelfAdmin_REI,0.0,619.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7,619.0
