subject,phase,group,filename,time_seconds,time_minutes,response_code,response_type
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,563.67,9.394499999999999,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,564.25,9.404166666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,567.41,9.456833333333332,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,572.84,9.547333333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,647.93,10.798833333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,851.04,14.184,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,851.48,14.191333333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,853.32,14.222000000000001,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,855.84,14.264000000000001,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,856.2,14.270000000000001,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,891.52,14.858666666666666,1.0,inactive_lever
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.68,15.794666666666666,2.0,active_lever
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.68,15.794666666666666,4.0,other_4
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.68,15.794666666666666,22.0,other_22
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.69,15.794833333333335,24.0,other_24
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.69,15.794833333333335,12.0,other_12
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.69,15.794833333333335,13.0,other_13
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.69,15.794833333333335,8.0,other_8
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.69,15.794833333333335,5.0,other_5
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,947.69,15.794833333333335,17.0,other_17
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,951.69,15.861500000000001,18.0,other_18
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,952.69,15.878166666666667,14.0,other_14
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,952.69,15.878166666666667,10.0,other_10
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,957.68,15.961333333333332,19.0,other_19
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,957.69,15.961500000000001,11.0,other_11
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1050.19,17.50316666666667,6.0,reinforced
